Date;Sugar;Cocoa
01/11/2015;14.843;3360.840463
01/12/2015;14.76272727;3345.656219
01/01/2016;14.29105263;2952.416087
01/02/2016;13.314;2916.366534
01/03/2016;15.43045455;3073.519138
01/04/2016;14.99809524;3078.493533
01/05/2016;16.68428571;3098.388584
01/06/2016;19.33727273;3122.750283
01/07/2016;19.687;3049.977297
01/08/2016;20.01434783;3032.488203
01/09/2016;21.35238095;2881.18737
01/10/2016;22.91666667;2711.350911
01/11/2016;20.86857143;2482.831264
01/12/2016;18.83;2295.309672
01/01/2017;20.5375;2193.826741
01/02/2017;20.40578947;2034.083963
01/03/2017;18.05956522;2063.093781
01/04/2017;16.31684211;1961.15731
01/05/2017;15.68909091;1983.484854
01/06/2017;13.53;1998.245323
01/07/2017;14.119;1988.577539
01/08/2017;13.79608696;1988.558585
01/09/2017;13.931;1998.295965
01/10/2017;14.23181818;2097.053238
01/11/2017;14.96666667;2127.901902
01/12/2017;14.4325;1917.775604
01/01/2018;13.97952381;1951.826368
01/02/2018;13.57263158;2122.798561
01/03/2018;12.82571429;2503.951234
01/04/2018;11.82428571;2624.735335
01/05/2018;11.82727273;2659.613165
01/06/2018;12.06190476;2410.758626
01/07/2018;11.1552381;2357.047885
01/08/2018;10.45521739;2171.610711
01/09/2018;10.78368421;2194.885796
01/10/2018;13.18478261;2134.198772
01/11/2018;12.79238095;2185.034302
01/12/2018;12.5535;2208.408043
01/01/2019;12.68095238;2263.335036
01/02/2019;12.92894737;2255.804973
01/03/2019;12.47380952;2200.484674
01/04/2019;12.53571429;2331.131022
01/05/2019;11.825;2315.0724
01/06/2019;12.4395;2407.731088
01/07/2019;12.12863636;2416.529621
01/08/2019;11.55545455;2194.698416
01/09/2019;11.158;2305.341714
01/10/2019;12.4573913;2435.27454
01/11/2019;12.687;2519.662532
01/12/2019;13.3352381;2444.792078
01/01/2020;14.16666667;2603.075561
01/02/2020;15.07105263;2716.214398
01/03/2020;11.805;2338.470536
01/04/2020;10.05190476;2270.238697
01/05/2020;10.641;2317.453932
01/06/2020;11.82818182;2228.617636
01/07/2020;11.90181818;2102.077132
01/08/2020;12.81428571;2348.676309
01/09/2020;12.44142857;2457.611924
01/10/2020;14.28772727;2292.054176
01/11/2020;14.9335;2359.243716
01/12/2020;14.66772727;2405.764924
01/01/2021;15.91631579;2392.973563
01/02/2021;17.00052632;2383.028507
01/03/2021;15.80565217;2471.204322
01/04/2021;16.23761905;2366.486057
01/05/2021;17.20333333;2409.357431
01/06/2021;17.21409091;2366.293764
01/07/2021;17.7147619;2328.279553
01/08/2021;19.38363636;2477.500362
01/09/2021;19.26428571;2552.764422
01/10/2021;19.61904762;2573.725248
01/11/2021;19.74619048;2405.874465
01/12/2021;19.16727273;2378.730858
01/01/2022;18.461;2467.356863
01/02/2022;18.20315789;2551.326884
01/03/2022;19.10782609;2459.39832
01/04/2022;19.69904762;2457.384107
01/05/2022;19.28090909;2363.871129
01/06/2022;18.79409091;2323.116687
01/07/2022;18.34;2239.402286
01/08/2022;18.0626087;2270.102774
01/09/2022;18.18590909;2220.214245
01/10/2022;18.30095238;2243.631098
01/11/2022;19.40590909;2380.80307
01/12/2022;20.065;2456.226954
01/01/2023;19.94318182;2540.076524
01/02/2023;21.4035;2586.526817
01/03/2023;20.96173913;2665.791316
01/04/2023;24.582;2823.273985
01/05/2023;25.72956522;2905.341733
01/06/2023;24.76227273;3124.439135
01/07/2023;24.00809524;3346.634549
01/08/2023;24.19304348;3434.406596
01/09/2023;26.56380952;3629.166883
01/10/2023;26.90363636;3691.614716
